"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","locus_tag","feature_type","gene_symbol","product","EC_number","COG","display_name","plot_label","classification"
19744.0962273015,-2.71054925826686,0.0744544757633208,-36.4054575695795,3.48944744418578e-290,5.45780426214914e-289,"AENJPLPP_01492","AENJPLPP_01492","CDS","rpsH","30S ribosomal protein S8","","COG0096","rpsH","rpsH
(AENJPLPP_01492)","Down in serum"
32355.6108263376,-2.20193203153451,0.0607762430232785,-36.2301439180953,2.04176434451074e-287,3.17595321940105e-286,"AENJPLPP_01481","AENJPLPP_01481","CDS","rplB","50S ribosomal protein L2","","COG0090","rplB","rplB
(AENJPLPP_01481)","Down in serum"
2222.3419945295,-2.65764752683578,0.0735401869105431,-36.1387105266491,5.59692389179283e-286,8.65841067631995e-285,"AENJPLPP_00997","AENJPLPP_00997","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
119361.697079646,-2.2283578742831,0.0617353859885453,-36.0953096607602,2.68677448712774e-285,4.11149112057223e-284,"AENJPLPP_02049","AENJPLPP_02049","CDS","fba","Fructose-bisphosphate aldolase","4.1.2.13","COG0191","fba","fba
(AENJPLPP_02049)","Down in serum"
4176.09578081318,-2.34430466300784,0.0652949806833773,-35.9032905511625,2.71411369464739e-282,4.04402940502461e-281,"AENJPLPP_00362","AENJPLPP_00362","CDS","cfa","Cyclopropane-fatty-acyl-phospholipid synthase","2.1.1.79","COG2230","cfa","cfa
(AENJPLPP_00362)","Down in serum"
1962.78866461755,-2.67008938101211,0.0751341157027961,-35.5376430006048,1.28952836330565e-276,1.88178082294758e-275,"AENJPLPP_02555","AENJPLPP_02555","CDS","nfo","putative endonuclease 4","3.1.21.2","COG0648","nfo","nfo
(AENJPLPP_02555)","Down in serum"
930.767819922492,-4.19734633489589,0.118408182723661,-35.4481104121965,3.10178928422645e-275,4.48018646104341e-274,"AENJPLPP_01778","AENJPLPP_01778","CDS","emrB","Multidrug export protein EmrB","","","emrB","emrB
(AENJPLPP_01778)","Down in serum"
3003.79053276206,-2.3232916229713,0.0669730780560694,-34.6899334838135,1.11746948437163e-263,1.56611688626539e-262,"AENJPLPP_00202","AENJPLPP_00202","CDS",NA,"putative RNA methyltransferase","2.1.1.-","COG2265","putative RNA methyltransferase","putative RNA methyltransferase","Down in serum"
13196.400679217,-2.15574336243938,0.0628632154508953,-34.2926041402274,1.01151572834714e-257,1.40372599360331e-256,"AENJPLPP_02095","AENJPLPP_02095","CDS",NA,"hypothetical protein","","","hypothetical protein","hypothetical protein","Down in serum"
6727.17331920742,-2.63732519923554,0.077074297209697,-34.217959744221,1.30735371543106e-256,1.7966594021288e-255,"AENJPLPP_00824","AENJPLPP_00824","CDS","nadD","Nicotinate-nucleotide adenylyltransferase","2.7.7.18","COG1057","nadD","nadD
(AENJPLPP_00824)","Down in serum"
